IDs,Product Date,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,LineItemID,Segment Name,Endpoint
,2018-08-20,Denise Shipley,Not Applicable,FX,FX_American Horror Story S8_Assembly_2018_Q3_Segments,00k0Z00000gJJQWQA4,ShareThis > Interest from Social Activity > FX > Custom > VMAs 2017,LiveRamp
,2018-08-20,Denise Shipley,Not Applicable,FX,FX_American Horror Story S8_Assembly_2018_Q3_Segments,00k0Z00000gJJQRQA4,ShareThis > Interest from Social Activity > FX > Custom > VMAs 2018,LiveRamp
,2018-07-03,Heather Goeld,,BTG,BTG Varithena_varicose veins_Coegi_2018_Q2Q3_ Segments,00k0Z00000gJJb4QAG,ShareThis > Interest from Social Activity > Varithena > Custom > Varicose Veins,TTD
,2018-07-02,Ivy Levine,Publicis,Alcon,Starcom_Alcon_AOC_Seg_2018,00k0Z00000gJJXWQA4,ShareThis > Interest from Social Activity > Alcon > Custom > AOC,LiveRamp
,,Denise Shipley,Not Applicable,FOX,FoxHE_This is Us S2_Assembly_2018_Q3_Segments,00k0Z00000gJJZDQA4,ShareThis > Interest from Social Activity > FOX > Custom > This Is Us S2 Show,LiveRamp
,2018-07-16,Heather Goeld,,Spectranetics,Spectranetics Stellarex__Coegi_2018_Q3Q4_ Segments,00k0Z00000gJJb9QAG,ShareThis > Interest from Social Activity > Stellarex > Custom >  Heart Conditions,TTD
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJf3QAG,ShareThis > Interest from Social Activity > Citi > Vertical > Gyms & Health Clubs,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeoQAG,ShareThis > Interest from Social Activity > Citi > Vertical > Humor,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJdqQAG,ShareThis > Interest from Social Activity > Citi > Vertical > Healthy Eating,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJdvQAG,ShareThis > Interest from Social Activity > Citi > Vertical > Air Travel,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeKQAW,ShareThis > Interest from Social Activity > Citi > Vertical > Specialty Travel,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeZQAW,ShareThis > Interest from Social Activity > Citi > Vertical >Travel Agencies & Services,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJe0QAG,ShareThis > Interest from Social Activity > Citi > Vertical > Cruises & Charters,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeFQAW,ShareThis > Interest from Social Activity > Citi > Vertical > Hotels & Accommodations,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeyQAG,ShareThis > Interest from Social Activity > Citi > Vertical > Tourist Destinations,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJe5QAG,ShareThis > Interest from Social Activity > Citi > Vertical > Restaurants,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJePQAW,ShareThis > Interest from Social Activity > Citi > Vertical > Events & Listings,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJetQAG,ShareThis > Interest from Social Activity > Citi > Vertical > Performing Arts,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeAQAW,ShareThis > Interest from Social Activity > Citi > Custom > Credit Card,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJejQAG,ShareThis > Interest from Social Activity > Citi > Custom > Checking Savings Accounts,LiveRamp
,2018-07-09,Ivy Levine,Publicis,Citi,Citi_Life&Money_OnePublicis_Seg_2018,00k0Z00000gJJeUQAW,ShareThis > Interest from Social Activity > Citi > Vertical > Fitness Instruction & Personal Training,LiveRamp
,2018-09-03,Poojita Raju,Interpublic,Hulu,Hulu_The First_Cadreon_2018_Q3-Q4_Segments,00k0Z00000gJJoyQAG,ShareThis > Interest from Social Activity > Hulu > Custom > Drama Films & Series,LiveRamp
